name,a,elements,crystal_system,point_group,formula,plane,num_elements
Ta3(InS3)2 (0001),5.806663300378625,"In, S, Ta",Trigonal,32,Ta3(InS3)2,(0001),3
Ta3(Ni10B3)2 (111),14.838528181547606,"B, Ni, Ta",Cubic,m-3m,Ta3(Ni10B3)2,(111),3
Ta3AlC2 (0001),3.088698855048868,"Al, C, Ta",Hexagonal,6/mmm,Ta3AlC2,(0001),3
Ta3Au (111),7.375104815026693,"Au, Ta",Cubic,m-3m,Ta3Au,(111),2
Ta3CoS6 (0001),5.784063777761516,"Co, S, Ta",Hexagonal,622,Ta3CoS6,(0001),3
Ta3CrS6 (0001),5.754667618258932,"Cr, S, Ta",Hexagonal,622,Ta3CrS6,(0001),3
Ta3FeS6 (0001),5.744369690160616,"Fe, S, Ta",Hexagonal,622,Ta3FeS6,(0001),3
Ta3Ir (111),9.124425661953682,"Ir, Ta",Cubic,m-3m,Ta3Ir,(111),2
Ta3Mn8Al (0001),4.863839820134872,"Al, Mn, Ta",Trigonal,3m,Ta3Mn8Al,(0001),3
Ta3Os (111),9.11550706554393,"Os, Ta",Cubic,m-3m,Ta3Os,(111),2
Ta3PbS6 (0001),5.812549659816571,"Pb, S, Ta",Hexagonal,6/mmm,Ta3PbS6,(0001),3
Ta3RhS6 (0001),5.760510755693128,"Rh, S, Ta",Hexagonal,622,Ta3RhS6,(0001),3
Ta3Ru (111),9.102689142932073,"Ru, Ta",Cubic,m-3m,Ta3Ru,(111),2
Ta3Sb (111),7.460115063736511,"Sb, Ta",Cubic,m-3m,Ta3Sb,(111),2
Ta3Sn (111),7.493887982672357,"Sn, Ta",Cubic,m-3m,Ta3Sn,(111),2
Ta3SnS6 (0001),5.7959480089726565,"S, Sn, Ta",Hexagonal,6/mmm,Ta3SnS6,(0001),3
Ta3VS6 (0001),5.769166658858417,"S, Ta, V",Hexagonal,622,Ta3VS6,(0001),3
Ta3VSe6 (0001),6.021290422730567,"Se, Ta, V",Hexagonal,622,Ta3VSe6,(0001),3
Ta3W (111),9.24096130012381,"Ta, W",Cubic,m-3m,Ta3W,(111),2
Ta4CrSe8 (0001),6.9380834635381134,"Cr, Se, Ta",Hexagonal,6/mmm,Ta4CrSe8,(0001),3
Ta4FeS8 (0001),6.665993658958629,"Fe, S, Ta",Hexagonal,6/mmm,Ta4FeS8,(0001),3
Ta4MnS8 (0001),6.681755069804688,"Mn, S, Ta",Hexagonal,6/mmm,Ta4MnS8,(0001),3
Ta5Ga3B (0001),7.7378548068425115,"B, Ga, Ta",Hexagonal,6/mmm,Ta5Ga3B,(0001),3
Ta6Be15Cu8 (111),15.231673814969183,"Be, Cu, Ta",Cubic,m-3m,Ta6Be15Cu8,(111),3
Ta6Be15Ni8 (111),15.037813957122088,"Be, Ni, Ta",Cubic,m-3m,Ta6Be15Ni8,(111),3
Ta6Co16Ge7 (111),15.951634510433665,"Co, Ge, Ta",Cubic,m-3m,Ta6Co16Ge7,(111),3
