name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
KCuO (100),5.484766290382501,9.24823882152112,"Cu, K, O",Tetragonal,4/mmm,KCuO,(100),3
KCuO (101),9.24823882152112,10.752329169068746,"Cu, K, O",Tetragonal,4/mmm,KCuO,(101),3
KCuO (110),5.484766290382501,13.078984769460538,"Cu, K, O",Tetragonal,4/mmm,KCuO,(110),3
KCuO2 (001),4.388239131910865,11.621146651119776,"Cu, K, O",Orthorhombic,mmm,KCuO2,(001),3
KCuO2 (010),4.388239131910865,5.40709198,"Cu, K, O",Orthorhombic,mmm,KCuO2,(010),3
KCuO2 (100),5.40709198,11.621146651119776,"Cu, K, O",Orthorhombic,mmm,KCuO2,(100),3
KCuO2 (011),4.388239131910865,12.817476084120957,"Cu, K, O",Orthorhombic,mmm,KCuO2,(011),3
KCuO2 (101),6.963712110578246,11.621146651119776,"Cu, K, O",Orthorhombic,mmm,KCuO2,(101),3
KCuO2 (110),5.40709198,12.422064730376597,"Cu, K, O",Orthorhombic,mmm,KCuO2,(110),3
KCuS (001),5.29802956,6.18889608,"Cu, K, S",Orthorhombic,mmm,KCuS,(001),3
KCuS (010),5.29802956,10.7231909,"Cu, K, S",Orthorhombic,mmm,KCuS,(010),3
KCuS (100),6.18889608,10.7231909,"Cu, K, S",Orthorhombic,mmm,KCuS,(100),3
KCuS (011),5.29802956,12.381003907877671,"Cu, K, S",Orthorhombic,mmm,KCuS,(011),3
KCuS (101),6.18889608,11.960599495697387,"Cu, K, S",Orthorhombic,mmm,KCuS,(101),3
KCuS (110),8.146873750566726,10.7231909,"Cu, K, S",Orthorhombic,mmm,KCuS,(110),3
KCuSe (0001),4.152311960022738,7.19201528363529,"Cu, K, Se",Hexagonal,6/mmm,KCuSe,(0001),3
KCuSe (1-100),4.152311960022738,9.63172965,"Cu, K, Se",Hexagonal,6/mmm,KCuSe,(1-100),3
KCuSe (1-102),4.152311960022738,12.02061977980889,"Cu, K, Se",Hexagonal,6/mmm,KCuSe,(1-102),3
KCuSe (11-20),7.19201528363529,9.63172965,"Cu, K, Se",Hexagonal,6/mmm,KCuSe,(11-20),3
KCuTe (0001),4.4392195151902065,7.688953746260717,"Cu, K, Te",Hexagonal,6/mmm,KCuTe,(0001),3
KCuTe (1-100),4.4392195151902065,10.05900949,"Cu, K, Te",Hexagonal,6/mmm,KCuTe,(1-100),3
KCuTe (1-102),4.4392195151902065,12.661109020620854,"Cu, K, Te",Hexagonal,6/mmm,KCuTe,(1-102),3
KCuTe (11-20),7.688953746260717,10.05900949,"Cu, K, Te",Hexagonal,6/mmm,KCuTe,(11-20),3
KDy2Cl7 (001),6.907323910075862,12.57306395,"Cl, Dy, K",Monoclinic,2/m,KDy2Cl7,(001),3
KDy2Cl7 (100),12.57306395,12.825200381193117,"Cl, Dy, K",Monoclinic,2/m,KDy2Cl7,(100),3
KDy2F7 (001),8.086122,14.467014,"Dy, F, K",Monoclinic,m,KDy2F7,(001),3
KDy2F7 (100),8.086122,12.061289847110714,"Dy, F, K",Monoclinic,m,KDy2F7,(100),3
KDy2F7 (001),7.98780366,14.265187029705697,"Dy, F, K",Monoclinic,2/m,KDy2F7,(001),3
KDy2F7 (100),7.98780366,11.925252555392799,"Dy, F, K",Monoclinic,2/m,KDy2F7,(100),3
KDy3F10 (100),11.511555,11.511555,"Dy, F, K",Cubic,m-3m,KDy3F10,(100),3
KDyO2 (0001),3.451555323856073,5.978269186053569,"Dy, K, O",Trigonal,-3m,KDyO2,(0001),3
KDyS2 (0001),4.036870451420054,6.992064725433042,"Dy, K, S",Trigonal,-3m,KDyS2,(0001),3
KEr2Cl7 (001),6.843012719305242,12.47610485,"Cl, Er, K",Monoclinic,2/m,KEr2Cl7,(001),3
KEr2Cl7 (100),12.47610485,12.81488276929309,"Cl, Er, K",Monoclinic,2/m,KEr2Cl7,(100),3
KEr2F7 (001),7.68547477,11.64979734,"Er, F, K",Orthorhombic,mm2,KEr2F7,(001),3
KEr2F7 (010),7.68547477,13.14313714,"Er, F, K",Orthorhombic,mm2,KEr2F7,(010),3
KEr2F7 (100),11.64979734,13.14313714,"Er, F, K",Orthorhombic,mm2,KEr2F7,(100),3
KEr2F7 (101),11.64979734,15.225261124892208,"Er, F, K",Orthorhombic,mm2,KEr2F7,(101),3
KEr2F7 (110),13.14313714,13.95651462591494,"Er, F, K",Orthorhombic,mm2,KEr2F7,(110),3
KEr3F10 (001),8.183636,14.174036,"Er, F, K",Monoclinic,m,KEr3F10,(001),3
KErF4 (1-100),10.282073,14.156742686912198,"Er, F, K",Trigonal,3,KErF4,(1-100),3
KErO2 (0001),3.4083938692741373,5.90351135378908,"Er, K, O",Trigonal,-3m,KErO2,(0001),3
