name,a,elements,crystal_system,point_group,formula,plane,num_elements
Mg(MnGe)6 (0001),8.104470470000006,"Ge, Mg, Mn",Hexagonal,6/mmm,Mg(MnGe)6,(0001),3
Mg(NO3)2 (111),10.66213424986375,"Mg, N, O",Cubic,m-3,Mg(NO3)2,(111),3
Mg(ScS2)2 (111),15.090689629417255,"Mg, S, Sc",Cubic,m-3m,Mg(ScS2)2,(111),3
Mg10B16Ir19 (111),14.971172933764414,"B, Ir, Mg",Cubic,-43m,Mg10B16Ir19,(111),3
Mg13Au41 (0001),9.62161,"Au, Mg",Hexagonal,6/mmm,Mg13Au41,(0001),2
Mg17Al12 (111),14.759391675592873,"Al, Mg",Cubic,-43m,Mg17Al12,(111),2
Mg2AgAu (111),9.262163104998095,"Ag, Au, Mg",Cubic,m-3m,Mg2AgAu,(111),3
Mg2AgHg (111),9.531268684328973,"Ag, Hg, Mg",Cubic,m-3m,Mg2AgHg,(111),3
Mg2AgPt (111),9.073796392156654,"Ag, Mg, Pt",Cubic,m-3m,Mg2AgPt,(111),3
Mg2AgRh (111),8.992086064669495,"Ag, Mg, Rh",Cubic,m-3m,Mg2AgRh,(111),3
Mg2Al5Cu6 (111),11.577216479614412,"Al, Cu, Mg",Cubic,m-3,Mg2Al5Cu6,(111),3
Mg2Co12P7 (0001),3.467786,"Co, Mg, P",Hexagonal,-6,Mg2Co12P7,(0001),3
Mg2Cu3Ge (0001),7.95531257,"Cu, Ge, Mg",Hexagonal,6/mmm,Mg2Cu3Ge,(0001),3
Mg2Cu3Si (0001),7.8049063,"Cu, Mg, Si",Hexagonal,6/mmm,Mg2Cu3Si,(0001),3
Mg2FeH6 (111),8.98741296514008,"Fe, H, Mg",Cubic,m-3m,Mg2FeH6,(111),3
Mg2Ga (0001),6.98307274,"Ga, Mg",Hexagonal,-6m2,Mg2Ga,(0001),2
Mg2Ga5Cu6 (111),11.594971181356822,"Cu, Ga, Mg",Cubic,m-3,Mg2Ga5Cu6,(111),3
Mg2Ge (111),9.006548952899283,"Ge, Mg",Cubic,m-3m,Mg2Ge,(111),2
